English,French
You're welcome., De rien.
You need a drink.,Il vous faut un verre.
What are they going to do?,Que vont-ils faire ?
"You're not tired, are you?","Tu n'es pas fatigué, si ?"
"Means pay at the property, "," Moyens de payer à la propriété,"
I was good.,J'ai été bon.
I thought I was dreaming.,Je pensais que j'étais en train de rêver.
Let's get real.,Soyons réalistes.
I'll manage it.,Je gérerai ça.
I went on reading.,J'ai continué à lire.
Are you hot?,As-tu chaud ?
Please add up the bill.,Mets ça sur la note.
Tom told us to be quiet.,Tom nous a dit d'être silencieux.
Tom says you're a genius.,Tom dit que vous êtes un génie.
The stew smells delicious.,Le ragoût sent délicieusement bon.
I will, Je vais
Grab the end of this rope.,Attrape le bout de cette corde !
I see here 2 reservations., Je vois ici 2 réserves.
I like it that way.,Je l'aime ainsi.
Are these your children?,Sont-ils vos enfants ?
You can't do this to me.,Vous ne pouvez pas me faire ça.
I saw my friends yesterday.,J'ai vu mes amis hier.
Everybody has to do that.,Tout le monde doit le faire.
John?, John?
It is a good question., C’est une bonne question.
Just a moment., Juste un moment.
I wanted you to have this.,Je voulais que vous ayez ceci.
are you there?, êtes-vous là?
"I'm busy, so I can't go.","Je suis occupé, je ne peux donc m'y rendre."
I don't care what you do.,Ce que tu fais m'est indifférent.
I don't know if I can stay.,J'ignore si je peux rester.
"Yes, cancel"," Oui, annuler"
Look down at the floor.,Regardez le sol.
You're fortunate.,Tu es chanceuse.
Tom wasn't very impressed.,Tom n'était pas très impressionné.
"Ashley, are you still there?"," Ashley, tu es toujours là?"
It's not hopeless.,Ce n'est pas dénué d'espoir.
Are we still connected?, Sommes-nous toujours connectés?
I refused to pay.,J'ai refusé de payer.
He's a very hard worker.,C'est un employé très travailleur.
Don't force it.,Ne le forcez pas.
You're grumpy.,Vous êtes bougonne.
Absolutely!, Absolument!
Hurry up.,Grouille !
I'll go with you.,J'irai avec toi.
He may have lost his way.,Il a peut-être perdu son chemin.
We're old friends.,Nous sommes de vieux amis.
She sent him a message.,Elle lui envoya un message.
Do you wanna be updated every 2 mins or once done?, Voulez-vous être mis à jour toutes les 2 minutes ou une fois terminé?
They ate and drank wine.,Ils mangèrent et burent du vin.
You have no other choice.,Tu n'as pas d'autre choix.
Thank you. , Je vous remercie.
Do you have an umbrella?,Avez-vous un parapluie ?
I lost my camera.,J'ai perdu mon appareil photo.
You're probably thirsty.,Tu as probablement soif.
How wide is it?,De quelle largeur est-ce ?
They can't hear me either.,Ils ne peuvent m'entendre non plus.
I want to watch you dance.,Je veux te regarder danser.
"Alright, let me find it. "," D'accord, laissez-moi le trouver."
I'm quite happy.,Je suis assez heureuse.
Be fair.,Soyez juste !
He lacks judgement.,Il manque de jugement.
I don't have time to sleep.,Je n'ai pas le temps de dormir.
They relaxed.,Elles se sont détendues.
Tom watched Mary dance.,Tom a regardé Mary danser.
I ran upstairs.,J'ai couru à l'étage.
"Hey, be careful with that!","Hé, fais attention avec ça !"
He married a local girl.,Il a épousé une fille du coin.
She's a fox.,C'est un renard.
